date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:40:23	20443/20443	---M--	200	added ('OK')	text/css	etag:%223cae10f73019d01:0%22	http://www.prepbootstrap.com/Content/css/single-page-admin/table.css	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/css/single-page-admin/table.css	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/tables.html)
10:40:24	45404/45404	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2004%20Dec%202015%2013:40:12%20GMT	http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/bootstrap/css/bootstrap.min.css)
10:40:25	1578/1578	---M--	200	added ('OK')	text/css	etag:%223cae10f73019d01:0%22	http://www.prepbootstrap.com/Content/css/single-page-admin/login.css	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/css/single-page-admin/login.css	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/login.html)
10:40:26	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202015%2013:40:20%20GMT	http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/dashboard.html	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/dashboard.36.delayed	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/login.html)
10:40:31	39131/39131	---M--	200	added ('OK')	application/javascript	etag:%2252325ff93019d01:0%22	http://www.prepbootstrap.com/Content/js/single-page-admin/jquery.validate.js	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/js/single-page-admin/jquery.validate.js	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/login.html)
10:40:34	119892/119892	---M--	200	added ('OK')	text/css	etag:%227cbb13f73019d01:0%22	http://www.prepbootstrap.com/Content/css/single-page-admin/bootstrap.css	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/css/single-page-admin/bootstrap.css	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/user.html)
10:40:35	3641/3641	---M--	200	added ('OK')	text/css	etag:%229b27ff73019d01:0%22	http://www.prepbootstrap.com/Content/css/single-page-admin/register.css	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/css/single-page-admin/register.css	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/user.html)
10:40:39	377492/377492	---M-Z	200	added ('OK')	application/javascript	etag:%220f6f9f83019d01:0%22	http://www.prepbootstrap.com/Content/js/single-page-admin/datatables/jquery.dataTables.js	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/js/single-page-admin/datatables/jquery.dataTables.js	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/tables.html)
10:40:39	24285/24285	---M--	200	added ('OK')	image/jpeg	etag:%22168462f13019d01:0%22	http://www.prepbootstrap.com/Content/images/shared/single-page-admin/face.jpg	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/images/shared/single-page-admin/face.jpg	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/user.html)
10:40:39	93435/93435	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js	C:/My%20Web%20Sites/Dash/ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/tables.html)
10:40:40	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202015%2013:40:35%20GMT	http://www.prepbootstrap.com/Content/css/images/back_disabled.png	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/css/images/back_disabled.3b.delayed	(from http://www.prepbootstrap.com/Content/css/single-page-admin/table.css)
10:40:40	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202015%2013:40:35%20GMT	http://www.prepbootstrap.com/Content/css/images/back_enabled.png	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/css/images/back_enabled.3c.delayed	(from http://www.prepbootstrap.com/Content/css/single-page-admin/table.css)
10:40:40	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202015%2013:40:35%20GMT	http://www.prepbootstrap.com/Content/css/images/back_enabled_hover.png	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/css/images/back_enabled_hover.3d.delayed	(from http://www.prepbootstrap.com/Content/css/single-page-admin/table.css)
10:40:41	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202015%2013:40:36%20GMT	http://www.prepbootstrap.com/Content/css/images/forward_disabled.png	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/css/images/forward_disabled.3e.delayed	(from http://www.prepbootstrap.com/Content/css/single-page-admin/table.css)
10:40:41	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202015%2013:40:36%20GMT	http://www.prepbootstrap.com/Content/css/images/forward_enabled.png	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/css/images/forward_enabled.3f.delayed	(from http://www.prepbootstrap.com/Content/css/single-page-admin/table.css)
10:40:42	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202015%2013:40:36%20GMT	http://www.prepbootstrap.com/Content/css/images/forward_enabled_hover.png	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/css/images/forward_enabled_hover.40.delayed	(from http://www.prepbootstrap.com/Content/css/single-page-admin/table.css)
10:40:51	349561/349561	---M--	200	added ('OK')	image/jpeg	etag:%2296695cf13019d01:0%22	http://www.prepbootstrap.com/Content/images/shared/single-page-admin/bg.jpg	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/images/shared/single-page-admin/bg.jpg	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/login.html)
